"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
SD,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,33,0,9,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,10,0,32,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,10,0,32,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,13,3,15,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,8,0,31,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_CABG,Rate of readmission for CABG,0,3,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,22,0,32,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,25,0,31,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,15,0,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,50,1,6,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
SD,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,44,0,13,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,37,9,52
TN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,8,66,19,13
TN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,9,70,20,8
TN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,86,0,13,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,4,21,0,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,24,1,46,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,67,2,19,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,48,0,53,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_CABG,Rate of readmission for CABG,0,20,1,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,95,0,11,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,92,2,13,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,52,1,15,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),5,94,2,5,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,6,97,0,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,14,117,51,104
TX,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,21,180,58,96
TX,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,45,203,49,78
TX,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",1,278,0,42,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,60,0,139,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,63,0,139,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,18,219,9,64,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,2,183,2,104,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_CABG,Rate of readmission for CABG,1,102,1,23,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,4,262,2,96,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,9,250,5,96,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,215,1,50,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),12,342,10,28,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
TX,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,6,295,1,78,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,6,8,0,15
UT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,11,13,2,17
UT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,26,14,0,3
UT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,37,0,4,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,7,0,21,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,6,0,21,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,32,1,10,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,14,1,15,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_CABG,Rate of readmission for CABG,0,7,0,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,19,1,23,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,25,2,17,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,33,1,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,38,4,2,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
UT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,40,1,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,8,39,8,24
VA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,13,44,22,2
VA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,10,46,23,2
VA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,76,1,3,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,33,2,31,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,35,1,31,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,60,3,8,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,57,0,25,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_CABG,Rate of readmission for CABG,0,20,1,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,79,0,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,71,7,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,1,59,2,8,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,72,7,1,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,80,1,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2015,06/30/2018,Not Available,Not Available,Not Available,Not Available
VI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2015,06/30/2018,Not Available,Not Available,Not Available,Not Available
VI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2015,06/30/2018,Not Available,Not Available,Not Available,Not Available
VI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,2,5,0,6
VT,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,4,9,0,1
VT,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,7,6,1,0
VT,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,8,1,1,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,8,0,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,7,0,4,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,8,1,2,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,7,0,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_CABG,Rate of readmission for CABG,0,1,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,13,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,14,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,10,1,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,14,0,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
VT,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,14,1,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,11,27,3,42
WA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,15,46,7,20
WA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,24,45,7,13
WA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,59,0,8,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,36,0,29,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,36,0,29,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,49,3,17,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,41,1,43,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_CABG,Rate of readmission for CABG,0,16,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,70,0,13,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,68,2,20,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,53,2,7,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,64,16,9,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,77,1,13,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,12,29,3,71
WI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,33,70,5,12
WI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,16,94,5,5
WI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,97,0,12,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,53,0,53,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,53,0,53,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,68,4,35,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,44,1,71,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_CABG,Rate of readmission for CABG,0,26,0,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,99,0,21,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,108,2,12,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,85,0,19,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,116,7,0,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,114,2,5,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,15,6,24
WV,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,0,24,13,11
WV,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,1,29,16,2
WV,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,34,0,8,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,1,16,0,18,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,17,0,18,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,27,1,11,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,24,0,25,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_CABG,Rate of readmission for CABG,0,6,0,1,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,44,0,4,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,4,37,0,11,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,25,0,9,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),3,45,0,1,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WV,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,46,0,2,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,1,3,0,17
WY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,5,12,1,8
WY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2015,06/30/2018,5,13,2,6
WY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,15,0,5,,01/01/2016,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,8,0,10,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,8,0,10,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,14,0,8,,01/01/2018,12/31/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,4,0,18,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_CABG,Rate of readmission for CABG,0,2,0,0,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,17,0,9,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,18,1,9,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,15,0,3,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,24,1,1,,07/01/2017,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
WY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,22,0,6,,07/01/2015,06/30/2018,Not Applicable,Not Applicable,Not Applicable,Not Applicable
